Principal Job Category,ACADEMIA,GENDER,AGEGRP,Count
Physical and related scientists ,FALSE,Male ,Ages 70-75 ,155
S&E related occupations ,FALSE,Female ,Ages 29 or younger ,13
S&E related occupations ,FALSE,Female ,Ages 30-34 ,190
S&E related occupations ,FALSE,Female ,Ages 35-39 ,306
S&E related occupations ,FALSE,Female ,Ages 40-44 ,286
S&E related occupations ,FALSE,Female ,Ages 45-49 ,277
S&E related occupations ,FALSE,Female ,Ages 50-54 ,276
S&E related occupations ,FALSE,Female ,Ages 55-59 ,236
S&E related occupations ,FALSE,Female ,Ages 60-64 ,205
S&E related occupations ,FALSE,Female ,Ages 65-69 ,99
S&E related occupations ,FALSE,Female ,Ages 70-75 ,56
S&E related occupations ,FALSE,Male ,Ages 29 or younger ,11
S&E related occupations ,FALSE,Male ,Ages 30-34 ,207
S&E related occupations ,FALSE,Male ,Ages 35-39 ,312
S&E related occupations ,FALSE,Male ,Ages 40-44 ,316
S&E related occupations ,FALSE,Male ,Ages 45-49 ,415
S&E related occupations ,FALSE,Male ,Ages 50-54 ,424
S&E related occupations ,FALSE,Male ,Ages 55-59 ,394
S&E related occupations ,FALSE,Male ,Ages 60-64 ,332
S&E related occupations ,FALSE,Male ,Ages 65-69 ,173
S&E related occupations ,FALSE,Male ,Ages 70-75 ,115
Social and related scientists ,FALSE,Female ,Ages 29 or younger ,13
Social and related scientists ,FALSE,Female ,Ages 30-34 ,276
Social and related scientists ,FALSE,Female ,Ages 35-39 ,406
Social and related scientists ,FALSE,Female ,Ages 40-44 ,362
Social and related scientists ,FALSE,Female ,Ages 45-49 ,307
Social and related scientists ,FALSE,Female ,Ages 50-54 ,283
Social and related scientists ,FALSE,Female ,Ages 55-59 ,271
Social and related scientists ,FALSE,Female ,Ages 60-64 ,240
Social and related scientists ,FALSE,Female ,Ages 65-69 ,218
Social and related scientists ,FALSE,Female ,Ages 70-75 ,149
Social and related scientists ,FALSE,Male ,Ages 29 or younger ,5
Social and related scientists ,FALSE,Male ,Ages 30-34 ,98
Social and related scientists ,FALSE,Male ,Ages 35-39 ,157
Social and related scientists ,FALSE,Male ,Ages 40-44 ,143
Social and related scientists ,FALSE,Male ,Ages 45-49 ,160
Social and related scientists ,FALSE,Male ,Ages 50-54 ,149
Social and related scientists ,FALSE,Male ,Ages 55-59 ,152
Social and related scientists ,FALSE,Male ,Ages 60-64 ,187
Social and related scientists ,FALSE,Male ,Ages 65-69 ,241
Social and related scientists ,FALSE,Male ,Ages 70-75 ,165
