,Principal Job Category,ACADEMIA,Field,GENDER,AGEGRP,Count
91,Engineers ,TRUE,Academic,Female ,Ages 30-34 ,133
92,Engineers ,TRUE,Academic,Female ,Ages 35-39 ,174
93,Engineers ,TRUE,Academic,Female ,Ages 40-44 ,140
94,Engineers ,TRUE,Academic,Female ,Ages 45-49 ,97
95,Engineers ,TRUE,Academic,Female ,Ages 50-54 ,80
96,Engineers ,TRUE,Academic,Female ,Ages 55-59 ,60
97,Engineers ,TRUE,Academic,Female ,Ages 60-64 ,31
98,Engineers ,TRUE,Academic,Female ,Ages 65-69 ,14
99,Engineers ,TRUE,Academic,Female ,Ages 70-75 ,2
100,Engineers ,FALSE,Industry,Male ,Ages 29 or younger ,72
101,Engineers ,FALSE,Industry,Male ,Ages 30-34 ,619
102,Engineers ,FALSE,Industry,Male ,Ages 35-39 ,692
103,Engineers ,FALSE,Industry,Male ,Ages 40-44 ,543
104,Engineers ,FALSE,Industry,Male ,Ages 45-49 ,536
105,Engineers ,FALSE,Industry,Male ,Ages 50-54 ,495
106,Engineers ,FALSE,Industry,Male ,Ages 55-59 ,532
107,Engineers ,FALSE,Industry,Male ,Ages 60-64 ,347
108,Engineers ,FALSE,Industry,Male ,Ages 65-69 ,207
109,Engineers ,FALSE,Industry,Male ,Ages 70-75 ,151
110,Engineers ,TRUE,Academic,Male ,Ages 29 or younger ,26
111,Engineers ,TRUE,Academic,Male ,Ages 30-34 ,307
112,Engineers ,TRUE,Academic,Male ,Ages 35-39 ,480
113,Engineers ,TRUE,Academic,Male ,Ages 40-44 ,358
114,Engineers ,TRUE,Academic,Male ,Ages 45-49 ,293
115,Engineers ,TRUE,Academic,Male ,Ages 50-54 ,335
116,Engineers ,TRUE,Academic,Male ,Ages 55-59 ,376
117,Engineers ,TRUE,Academic,Male ,Ages 60-64 ,323
118,Engineers ,TRUE,Academic,Male ,Ages 65-69 ,170
119,Engineers ,TRUE,Academic,Male ,Ages 70-75 ,103
140,Non-S&E Occupations ,FALSE,Industry,Female ,Ages 29 or younger ,36
141,Non-S&E Occupations ,FALSE,Industry,Female ,Ages 30-34 ,370
142,Non-S&E Occupations ,FALSE,Industry,Female ,Ages 35-39 ,488
143,Non-S&E Occupations ,FALSE,Industry,Female ,Ages 40-44 ,510
144,Non-S&E Occupations ,FALSE,Industry,Female ,Ages 45-49 ,513
145,Non-S&E Occupations ,FALSE,Industry,Female ,Ages 50-54 ,479
146,Non-S&E Occupations ,FALSE,Industry,Female ,Ages 55-59 ,421
147,Non-S&E Occupations ,FALSE,Industry,Female ,Ages 60-64 ,355
148,Non-S&E Occupations ,FALSE,Industry,Female ,Ages 65-69 ,270
149,Non-S&E Occupations ,FALSE,Industry,Female ,Ages 70-75 ,163
150,Non-S&E Occupations ,TRUE,Academic,Female ,Ages 29 or younger ,11
151,Non-S&E Occupations ,TRUE,Academic,Female ,Ages 30-34 ,140
152,Non-S&E Occupations ,TRUE,Academic,Female ,Ages 35-39 ,297
153,Non-S&E Occupations ,TRUE,Academic,Female ,Ages 40-44 ,292
154,Non-S&E Occupations ,TRUE,Academic,Female ,Ages 45-49 ,332
155,Non-S&E Occupations ,TRUE,Academic,Female ,Ages 50-54 ,324
156,Non-S&E Occupations ,TRUE,Academic,Female ,Ages 55-59 ,293
157,Non-S&E Occupations ,TRUE,Academic,Female ,Ages 60-64 ,291
158,Non-S&E Occupations ,TRUE,Academic,Female ,Ages 65-69 ,158
159,Non-S&E Occupations ,TRUE,Academic,Female ,Ages 70-75 ,67
160,Non-S&E Occupations ,FALSE,Industry,Male ,Ages 29 or younger ,23
161,Non-S&E Occupations ,FALSE,Industry,Male ,Ages 30-34 ,203
162,Non-S&E Occupations ,FALSE,Industry,Male ,Ages 35-39 ,417
163,Non-S&E Occupations ,FALSE,Industry,Male ,Ages 40-44 ,442
164,Non-S&E Occupations ,FALSE,Industry,Male ,Ages 45-49 ,552
165,Non-S&E Occupations ,FALSE,Industry,Male ,Ages 50-54 ,618
166,Non-S&E Occupations ,FALSE,Industry,Male ,Ages 55-59 ,639
167,Non-S&E Occupations ,FALSE,Industry,Male ,Ages 60-64 ,570
168,Non-S&E Occupations ,FALSE,Industry,Male ,Ages 65-69 ,488
169,Non-S&E Occupations ,FALSE,Industry,Male ,Ages 70-75 ,403
170,Non-S&E Occupations ,TRUE,Academic,Male ,Ages 29 or younger ,6
171,Non-S&E Occupations ,TRUE,Academic,Male ,Ages 30-34 ,68
172,Non-S&E Occupations ,TRUE,Academic,Male ,Ages 35-39 ,169
173,Non-S&E Occupations ,TRUE,Academic,Male ,Ages 40-44 ,213
174,Non-S&E Occupations ,TRUE,Academic,Male ,Ages 45-49 ,268
175,Non-S&E Occupations ,TRUE,Academic,Male ,Ages 50-54 ,331
176,Non-S&E Occupations ,TRUE,Academic,Male ,Ages 55-59 ,377
177,Non-S&E Occupations ,TRUE,Academic,Male ,Ages 60-64 ,326
178,Non-S&E Occupations ,TRUE,Academic,Male ,Ages 65-69 ,226
179,Non-S&E Occupations ,TRUE,Academic,Male ,Ages 70-75 ,136
180,Physical and related scientists ,FALSE,Industry,Female ,Ages 29 or younger ,23
181,Physical and related scientists ,FALSE,Industry,Female ,Ages 30-34 ,220
182,Physical and related scientists ,FALSE,Industry,Female ,Ages 35-39 ,189
183,Physical and related scientists ,FALSE,Industry,Female ,Ages 40-44 ,186
184,Physical and related scientists ,FALSE,Industry,Female ,Ages 45-49 ,121
185,Physical and related scientists ,FALSE,Industry,Female ,Ages 50-54 ,123
186,Physical and related scientists ,FALSE,Industry,Female ,Ages 55-59 ,103
187,Physical and related scientists ,FALSE,Industry,Female ,Ages 60-64 ,77
188,Physical and related scientists ,FALSE,Industry,Female ,Ages 65-69 ,25
189,Physical and related scientists ,FALSE,Industry,Female ,Ages 70-75 ,11
190,Physical and related scientists ,TRUE,Academic,Female ,Ages 29 or younger ,31
191,Physical and related scientists ,TRUE,Academic,Female ,Ages 30-34 ,261
192,Physical and related scientists ,TRUE,Academic,Female ,Ages 35-39 ,390
193,Physical and related scientists ,TRUE,Academic,Female ,Ages 40-44 ,285
194,Physical and related scientists ,TRUE,Academic,Female ,Ages 45-49 ,227
195,Physical and related scientists ,TRUE,Academic,Female ,Ages 50-54 ,162
196,Physical and related scientists ,TRUE,Academic,Female ,Ages 55-59 ,152
197,Physical and related scientists ,TRUE,Academic,Female ,Ages 60-64 ,103
198,Physical and related scientists ,TRUE,Academic,Female ,Ages 65-69 ,47
199,Physical and related scientists ,TRUE,Academic,Female ,Ages 70-75 ,15
200,Physical and related scientists ,FALSE,Industry,Male ,Ages 29 or younger ,29
201,Physical and related scientists ,FALSE,Industry,Male ,Ages 30-34 ,283
202,Physical and related scientists ,FALSE,Industry,Male ,Ages 35-39 ,385
203,Physical and related scientists ,FALSE,Industry,Male ,Ages 40-44 ,322
204,Physical and related scientists ,FALSE,Industry,Male ,Ages 45-49 ,303
205,Physical and related scientists ,FALSE,Industry,Male ,Ages 50-54 ,328
206,Physical and related scientists ,FALSE,Industry,Male ,Ages 55-59 ,320
207,Physical and related scientists ,FALSE,Industry,Male ,Ages 60-64 ,293
208,Physical and related scientists ,FALSE,Industry,Male ,Ages 65-69 ,245
209,Physical and related scientists ,FALSE,Industry,Male ,Ages 70-75 ,155
210,Physical and related scientists ,TRUE,Academic,Male ,Ages 29 or younger ,39
211,Physical and related scientists ,TRUE,Academic,Male ,Ages 30-34 ,357
212,Physical and related scientists ,TRUE,Academic,Male ,Ages 35-39 ,533
213,Physical and related scientists ,TRUE,Academic,Male ,Ages 40-44 ,454
214,Physical and related scientists ,TRUE,Academic,Male ,Ages 45-49 ,397
215,Physical and related scientists ,TRUE,Academic,Male ,Ages 50-54 ,401
216,Physical and related scientists ,TRUE,Academic,Male ,Ages 55-59 ,414
217,Physical and related scientists ,TRUE,Academic,Male ,Ages 60-64 ,357
218,Physical and related scientists ,TRUE,Academic,Male ,Ages 65-69 ,228
219,Physical and related scientists ,TRUE,Academic,Male ,Ages 70-75 ,184
220,S&E related occupations ,FALSE,Industry,Female ,Ages 29 or younger ,13
221,S&E related occupations ,FALSE,Industry,Female ,Ages 30-34 ,190
222,S&E related occupations ,FALSE,Industry,Female ,Ages 35-39 ,306
223,S&E related occupations ,FALSE,Industry,Female ,Ages 40-44 ,286
224,S&E related occupations ,FALSE,Industry,Female ,Ages 45-49 ,277
225,S&E related occupations ,FALSE,Industry,Female ,Ages 50-54 ,276
226,S&E related occupations ,FALSE,Industry,Female ,Ages 55-59 ,236
227,S&E related occupations ,FALSE,Industry,Female ,Ages 60-64 ,205
228,S&E related occupations ,FALSE,Industry,Female ,Ages 65-69 ,99
229,S&E related occupations ,FALSE,Industry,Female ,Ages 70-75 ,56
230,S&E related occupations ,TRUE,Academic,Female ,Ages 29 or younger ,20
231,S&E related occupations ,TRUE,Academic,Female ,Ages 30-34 ,179
232,S&E related occupations ,TRUE,Academic,Female ,Ages 35-39 ,292
233,S&E related occupations ,TRUE,Academic,Female ,Ages 40-44 ,250
234,S&E related occupations ,TRUE,Academic,Female ,Ages 45-49 ,213
235,S&E related occupations ,TRUE,Academic,Female ,Ages 50-54 ,196
236,S&E related occupations ,TRUE,Academic,Female ,Ages 55-59 ,206
237,S&E related occupations ,TRUE,Academic,Female ,Ages 60-64 ,192
238,S&E related occupations ,TRUE,Academic,Female ,Ages 65-69 ,121
239,S&E related occupations ,TRUE,Academic,Female ,Ages 70-75 ,39
240,S&E related occupations ,FALSE,Industry,Male ,Ages 29 or younger ,11
241,S&E related occupations ,FALSE,Industry,Male ,Ages 30-34 ,207
242,S&E related occupations ,FALSE,Industry,Male ,Ages 35-39 ,312
243,S&E related occupations ,FALSE,Industry,Male ,Ages 40-44 ,316
244,S&E related occupations ,FALSE,Industry,Male ,Ages 45-49 ,415
245,S&E related occupations ,FALSE,Industry,Male ,Ages 50-54 ,424
246,S&E related occupations ,FALSE,Industry,Male ,Ages 55-59 ,394
247,S&E related occupations ,FALSE,Industry,Male ,Ages 60-64 ,332
248,S&E related occupations ,FALSE,Industry,Male ,Ages 65-69 ,173
249,S&E related occupations ,FALSE,Industry,Male ,Ages 70-75 ,115
250,S&E related occupations ,TRUE,Academic,Male ,Ages 29 or younger ,11
251,S&E related occupations ,TRUE,Academic,Male ,Ages 30-34 ,130
252,S&E related occupations ,TRUE,Academic,Male ,Ages 35-39 ,202
253,S&E related occupations ,TRUE,Academic,Male ,Ages 40-44 ,165
254,S&E related occupations ,TRUE,Academic,Male ,Ages 45-49 ,167
255,S&E related occupations ,TRUE,Academic,Male ,Ages 50-54 ,150
256,S&E related occupations ,TRUE,Academic,Male ,Ages 55-59 ,138
257,S&E related occupations ,TRUE,Academic,Male ,Ages 60-64 ,141
258,S&E related occupations ,TRUE,Academic,Male ,Ages 65-69 ,101
259,S&E related occupations ,TRUE,Academic,Male ,Ages 70-75 ,40
260,Social and related scientists ,FALSE,Industry,Female ,Ages 29 or younger ,13
261,Social and related scientists ,FALSE,Industry,Female ,Ages 30-34 ,276
262,Social and related scientists ,FALSE,Industry,Female ,Ages 35-39 ,406
263,Social and related scientists ,FALSE,Industry,Female ,Ages 40-44 ,362
264,Social and related scientists ,FALSE,Industry,Female ,Ages 45-49 ,307
265,Social and related scientists ,FALSE,Industry,Female ,Ages 50-54 ,283
266,Social and related scientists ,FALSE,Industry,Female ,Ages 55-59 ,271
267,Social and related scientists ,FALSE,Industry,Female ,Ages 60-64 ,240
268,Social and related scientists ,FALSE,Industry,Female ,Ages 65-69 ,218
269,Social and related scientists ,FALSE,Industry,Female ,Ages 70-75 ,149
270,Social and related scientists ,TRUE,Academic,Female ,Ages 29 or younger ,37
271,Social and related scientists ,TRUE,Academic,Female ,Ages 30-34 ,443
272,Social and related scientists ,TRUE,Academic,Female ,Ages 35-39 ,714
273,Social and related scientists ,TRUE,Academic,Female ,Ages 40-44 ,621
274,Social and related scientists ,TRUE,Academic,Female ,Ages 45-49 ,601
275,Social and related scientists ,TRUE,Academic,Female ,Ages 50-54 ,433
276,Social and related scientists ,TRUE,Academic,Female ,Ages 55-59 ,341
277,Social and related scientists ,TRUE,Academic,Female ,Ages 60-64 ,322
278,Social and related scientists ,TRUE,Academic,Female ,Ages 65-69 ,208
279,Social and related scientists ,TRUE,Academic,Female ,Ages 70-75 ,94
280,Social and related scientists ,FALSE,Industry,Male ,Ages 29 or younger ,5
281,Social and related scientists ,FALSE,Industry,Male ,Ages 30-34 ,98
282,Social and related scientists ,FALSE,Industry,Male ,Ages 35-39 ,157
283,Social and related scientists ,FALSE,Industry,Male ,Ages 40-44 ,143
284,Social and related scientists ,FALSE,Industry,Male ,Ages 45-49 ,160
285,Social and related scientists ,FALSE,Industry,Male ,Ages 50-54 ,149
286,Social and related scientists ,FALSE,Industry,Male ,Ages 55-59 ,152
287,Social and related scientists ,FALSE,Industry,Male ,Ages 60-64 ,187
288,Social and related scientists ,FALSE,Industry,Male ,Ages 65-69 ,241
289,Social and related scientists ,FALSE,Industry,Male ,Ages 70-75 ,165
290,Social and related scientists ,TRUE,Academic,Male ,Ages 29 or younger ,14
291,Social and related scientists ,TRUE,Academic,Male ,Ages 30-34 ,215
292,Social and related scientists ,TRUE,Academic,Male ,Ages 35-39 ,429
293,Social and related scientists ,TRUE,Academic,Male ,Ages 40-44 ,440
294,Social and related scientists ,TRUE,Academic,Male ,Ages 45-49 ,428
295,Social and related scientists ,TRUE,Academic,Male ,Ages 50-54 ,321
296,Social and related scientists ,TRUE,Academic,Male ,Ages 55-59 ,334
297,Social and related scientists ,TRUE,Academic,Male ,Ages 60-64 ,347
298,Social and related scientists ,TRUE,Academic,Male ,Ages 65-69 ,296
299,Social and related scientists ,TRUE,Academic,Male ,Ages 70-75 ,193
